-10,0	0,00000
-10,0	2,12132
-10,0	0,00000
-9,0	0,00000
-9,0	3,00000
-9,0	0,00000
-8,0	0,00000
-8,0	2,12132
-8,0	0,00000
-7,0	0,00000
-7,0	-0,00000
-7,0	0,00000
-6,0	0,00000
-6,0	-2,12132
-6,0	0,00000
-5,0	0,00000
-5,0	-3,00000
-5,0	0,00000
-4,0	0,00000
-4,0	-2,12132
-4,0	0,00000
-3,0	0,00000
-3,0	0,00000
-3,0	0,00000
-2,0	0,00000
-2,0	2,12132
-2,0	0,00000
-1,0	0,00000
-1,0	3,00000
-1,0	0,00000
0,0	0,00000
0,0	2,12132
0,0	0,00000
1,0	0,00000
1,0	0,00000
1,0	0,00000
2,0	0,00000
2,0	-2,12132
2,0	0,00000
3,0	0,00000
3,0	-3,00000
3,0	0,00000
4,0	0,00000
4,0	-2,12132
4,0	0,00000
5,0	0,00000
5,0	-0,00000
5,0	0,00000
6,0	0,00000
6,0	2,12132
6,0	0,00000
7,0	0,00000
7,0	3,00000
7,0	0,00000
8,0	0,00000
8,0	2,12132
8,0	0,00000
9,0	0,00000
9,0	0,00000
9,0	0,00000
10,0	0,00000
10,0	-2,12132
10,0	0,00000
